"expID","subID","eye","targetCategory","targetID","quadrant","breakTime","flag","outlier","pairedID"
"Binary","3","Right","Upright",1,"Left",11.562322,0,0,"A01"
"Binary","3","Right","Inverted",21,"Right",3.0080165,0,0,"B01"
"Binary","3","Right","Inverted",30,"Left",7.9895426,0,0,"B10"
"Binary","3","Right","Upright",10,"Left",7.0921204,0,0,"A10"
"Binary","3","Right","Upright",7,"Left",8.1233014,0,0,"A07"
"Binary","3","Right","Upright",12,"Right",4.9417177,0,0,"A12"
"Binary","3","Right","Upright",11,"Right",3.0809704,0,0,"A11"
"Binary","3","Right","Inverted",31,"Left",5.0663057,0,0,"B11"
"Binary","3","Right","Inverted",29,"Right",5.3041408,0,0,"B09"
"Binary","3","Right","Upright",5,"Right",3.4079914,0,0,"A05"
"Binary","3","Right","Upright",15,"Right",3.6209953,0,0,"A15"
"Binary","3","Right","Upright",18,"Left",7.6573687,0,0,"A18"
"Binary","3","Right","Upright",14,"Right",3.7848607,0,0,"A14"
"Binary","3","Right","Upright",14,"Left",4.1031795,0,0,"A14"
"Binary","3","Right","Inverted",23,"Left",4.7699196,0,0,"B03"
"Binary","3","Right","Upright",19,"Right",3.4619255,0,0,"A19"
"Binary","3","Right","Upright",3,"Left",4.2058488,0,0,"A03"
"Binary","3","Right","Inverted",25,"Right",3.8179512,0,0,"B05"
"Binary","3","Right","Upright",6,"Left",7.6809542,0,0,"A06"
"Binary","3","Right","Inverted",26,"Left",15,1,NA,"B06"
"Binary","3","Right","Upright",19,"Left",9.5617275,0,0,"A19"
"Binary","3","Right","Inverted",27,"Left",7.9107782,0,0,"B07"
"Binary","3","Right","Upright",17,"Left",5.3113238,0,0,"A17"
"Binary","3","Right","Upright",15,"Left",4.3007369,0,0,"A15"
"Binary","4","Left","Inverted",37,"Right",6.171148,0,0,"B17"
"Binary","4","Left","Inverted",36,"Right",14.0372808,0,0,"B16"
"Binary","4","Left","Upright",10,"Right",4.0511407,0,0,"A10"
"Binary","4","Left","Upright",4,"Right",11.2378194,0,0,"A04"
"Binary","4","Left","Upright",3,"Left",14.9207833,0,1,"A03"
"Binary","4","Left","Upright",3,"Right",12.1229633,0,0,"A03"
